Site,Season,TRAN,total_biomass,log_total_biomass
BEYOND,SUMMER-2,3,191.80052203940915,5.261656089846063
BEYOND,SUMMER-2,4,116.45881796670574,4.766087786760116
BEYOND,WINTER,1,578.2270465282344,6.3616945363352615
BEYOND,WINTER,2,262.5563419696552,5.574267166641572
BEYOND,WINTER,3,755.798789049477,6.6290974176432025
BEYOND,WINTER,4,308.26376801447464,5.734194530942777
EMPIRE,FALL,1,461.8772632270836,6.137461928721328
EMPIRE,FALL,2,961.6801931154656,6.869721262266113
EMPIRE,FALL,3,214.31371655757718,5.372096111386859
EMPIRE,FALL,4,757.5150112223415,6.631362589261629
EMPIRE,SPRING,1,280.10556048384075,5.638730258876005
EMPIRE,SPRING,2,158.16183840498468,5.069921536164203
EMPIRE,SPRING,3,116.0342087594149,4.762466274621407
EMPIRE,SPRING,4,207.66518652313354,5.340730989067215
EMPIRE,SUMMER,1,192.64288577669151,5.2660156677527
EMPIRE,SUMMER,2,458.0349911594034,6.129126440617675
EMPIRE,SUMMER,3,55.70048259111545,4.0377827220046365
EMPIRE,SUMMER,4,152.6466982835064,5.034655799790495
EMPIRE,SUMMER-2,1,116.4111276366867,4.76568168686043
EMPIRE,SUMMER-2,2,201.3674726071051,5.310085216035402
EMPIRE,SUMMER-2,3,185.84309482245393,5.230269199521848
EMPIRE,SUMMER-2,4,493.0670224397852,6.20267118094021
EMPIRE,WINTER,1,689.7524891348097,6.537781567321912
EMPIRE,WINTER,2,433.31987350518204,6.073781298349184
EMPIRE,WINTER,3,248.49874213331836,5.519453873629039
EMPIRE,WINTER,4,454.0886832860675,6.120492308279819
INDIANS,FALL,1,353.9344380734671,5.8719330909364995
INDIANS,FALL,2,201.4632933312665,5.310558602615736
INDIANS,FALL,3,395.92286033378554,5.983741955343228
INDIANS,FALL,4,248.9293432703616,5.5211782509971785
INDIANS,SPRING,1,77.06644558007257,4.357560330468515
INDIANS,SPRING,2,83.16906020730579,4.432827397749553
INDIANS,SPRING,3,138.20467076332358,4.935945301671606
INDIANS,SPRING,4,145.39646578654427,4.986318460433524
INDIANS,SUMMER,1,243.3631190115188,5.498655311702066
INDIANS,SUMMER,2,125.41832410685281,4.839596440405523
INDIANS,SUMMER,3,195.02975409494215,5.278266454315908
INDIANS,SUMMER,4,221.23806077074116,5.403749153134365
INDIANS,SUMMER-2,1,194.8092650416323,5.277141047882076
INDIANS,SUMMER-2,2,169.9582678953461,5.141419479322612
INDIANS,SUMMER-2,3,273.97477157567886,5.616679353733422
INDIANS,SUMMER-2,4,306.63257419334053,5.728906129922429
INDIANS,WINTER,1,1179.2343139248599,7.073468268869838
INDIANS,WINTER,2,524.9067942131774,6.26512399972306
INDIANS,WINTER,3,154.30742506639328,5.045406540128232
INDIANS,WINTER,4,33.43479343347307,3.5390674902411368
ISTHMUS,FALL,1,358.60543999083103,5.885007430377453
ISTHMUS,FALL,2,421.83083738470395,6.046972187440216
ISTHMUS,FALL,3,859.6973089847072,6.757742885107851
ISTHMUS,FALL,4,913.164241111723,6.818010250181555
ISTHMUS,SPRING,1,45.057815846851305,3.8298974735298312
ISTHMUS,SPRING,2,133.3381282347131,4.900359966696492
ISTHMUS,SPRING,3,173.77431511459338,5.163495513721187
ISTHMUS,SPRING,4,143.13606612853525,4.970757757105929
ISTHMUS,SUMMER,1,217.59852489502367,5.38723682775546
ISTHMUS,SUMMER,2,379.42270622325907,5.941283019276951
ISTHMUS,SUMMER,3,516.5633710294128,6.249131973737872
ISTHMUS,SUMMER,4,157.48523014005153,5.065661403739053
ISTHMUS,SUMMER-2,1,264.14795003426076,5.580287972209714
ISTHMUS,SUMMER-2,2,467.44662067079935,6.149422158518684
ISTHMUS,SUMMER-2,3,391.79313914754374,5.973283109799112
ISTHMUS,SUMMER-2,4,107.03581093000791,4.682462754848089
ISTHMUS,WINTER,1,305.753859110496,5.726045664149199
ISTHMUS,WINTER,2,622.2205599633447,6.434900484967652
ISTHMUS,WINTER,3,776.2466612016843,6.655757753274036
ISTHMUS,WINTER,4,3064.691016626301,8.028028276997315
PARADISE,FALL,1,320.2528579346318,5.772228532464432
PARADISE,FALL,2,70.04990803665173,4.263382560195358
PARADISE,FALL,3,293.24268436690903,5.684404883866697
PARADISE,FALL,4,167.56232333510974,5.127305552831826
PARADISE,SPRING,1,136.4729157918122,4.923426921644746
PARADISE,SPRING,2,149.78253414436645,5.015838627542219
PARADISE,SPRING,3,109.63574100506823,4.706243192445918
PARADISE,SPRING,4,272.77757527579763,5.612316007658711
PARADISE,SUMMER,1,98.20825800386798,4.597221256832804
PARADISE,SUMMER,2,54.22977915276886,4.011502285222662
PARADISE,SUMMER,3,134.2027835049046,4.906775751450961
PARADISE,SUMMER,4,168.4239876922628,5.132404376043505
PARADISE,SUMMER-2,1,170.14065875845833,5.142485784219724
PARADISE,SUMMER-2,2,142.6949519931199,4.967692663679639
PARADISE,SUMMER-2,3,403.80370392145346,6.003402267934986
PARADISE,SUMMER-2,4,121.03935784736298,4.804343598013608
PARADISE,WINTER,1,178.1730097665812,5.1883518740553844
PARADISE,WINTER,2,202.03300652159083,5.313368559527282
PARADISE,WINTER,3,184.6551997853071,5.223891188770082
PARADISE,WINTER,4,219.26004548293815,5.394808873233363
PARSONS,FALL,1,71.64389464201697,4.285569348522302
PARSONS,FALL,2,81.52581740271461,4.4131111826004075
PARSONS,FALL,3,136.20526249794634,4.921478070955223
PARSONS,FALL,4,129.93522108391667,4.874702705355289
PARSONS,SPRING,1,25.578636942842586,3.2801077706625152
PARSONS,SPRING,2,46.771478493598934,3.866428777176196
PARSONS,SPRING,3,129.53996630859268,4.8716794351144435
PARSONS,SPRING,4,169.38103614742386,5.138037317987351
PARSONS,SUMMER,1,191.18266306860923,5.258446289911033
PARSONS,SUMMER,2,224.51146979547934,5.418371021487258
PARSONS,SUMMER,3,29.227187959720368,3.4087417829535283
PARSONS,SUMMER,4,114.05252994957242,4.745388806240228
PARSONS,SUMMER-2,1,87.51072508003219,4.4831237320162876
PARSONS,SUMMER-2,2,86.4362736460992,4.470910226835982
PARSONS,SUMMER-2,3,57.09858215623532,4.062141260052957
PARSONS,SUMMER-2,4,56.99044199974896,4.060278203858767
PARSONS,WINTER,1,98.80700371637623,4.603238358373892
PARSONS,WINTER,2,297.7540380811399,5.699620619743962
PARSONS,WINTER,3,193.91186841336338,5.272547499545918
PARSONS,WINTER,4,209.24744845119602,5.348285162994381
