Season,Site,Tran,Tran_ID,Tran_ID_unq,TRAN
SUMMER,INDIANS,A,INDIANS_A,T69,1
SUMMER,INDIANS,B,INDIANS_B,T70,2
SUMMER,INDIANS,C,INDIANS_C,T71,3
SUMMER,INDIANS,D,INDIANS_D,T72,4
SUMMER,ISTHMUS,A,ISTHMUS_A,T73,1
SUMMER,ISTHMUS,B,ISTHMUS_B,T74,2
SUMMER,ISTHMUS,C,ISTHMUS_C,T75,3
SUMMER,ISTHMUS,D,ISTHMUS_D,T76,4
SUMMER,PARADISE,A,PARADISE_A,T77,1
SUMMER,PARADISE,B,PARADISE_B,T78,2
SUMMER,PARADISE,C,PARADISE_C,T79,3
SUMMER,PARADISE,D,PARADISE_D,T80,4
SUMMER,PARSONS,A,PARSONS_A,T81,1
SUMMER,PARSONS,B,PARSONS_B,T82,2
SUMMER,PARSONS,C,PARSONS_C,T83,3
SUMMER,PARSONS,D,PARSONS_D,T84,4
SUMMER-2,ARROW,A,ARROW_A,T85,1
SUMMER-2,ARROW,B,ARROW_B,T86,2
SUMMER-2,ARROW,C,ARROW_C,T87,3
SUMMER-2,ARROW,D,ARROW_D,T88,4
SUMMER-2,BEYOND,A,BEYOND_A,T89,1
SUMMER-2,BEYOND,B,BEYOND_B,T90,2
SUMMER-2,BEYOND,C,BEYOND_C,T91,3
SUMMER-2,BEYOND,D,BEYOND_D,T92,4
SUMMER-2,EMPIRE,A,EMPIRE_A,T93,1
SUMMER-2,EMPIRE,B,EMPIRE_B,T94,2
SUMMER-2,EMPIRE,C,EMPIRE_C,T95,3
SUMMER-2,EMPIRE,D,EMPIRE_D,T96,4
SUMMER-2,INDIANS,A,INDIANS_A,T97,1
SUMMER-2,INDIANS,B,INDIANS_B,T98,2
SUMMER-2,INDIANS,C,INDIANS_C,T99,3
SUMMER-2,INDIANS,D,INDIANS_D,T100,4
SUMMER-2,ISTHMUS,A,ISTHMUS_A,T101,1
SUMMER-2,ISTHMUS,B,ISTHMUS_B,T102,2
SUMMER-2,ISTHMUS,C,ISTHMUS_C,T103,3
SUMMER-2,ISTHMUS,D,ISTHMUS_D,T104,4
SUMMER-2,PARADISE,A,PARADISE_A,T105,1
SUMMER-2,PARADISE,B,PARADISE_B,T106,2
SUMMER-2,PARADISE,C,PARADISE_C,T107,3
SUMMER-2,PARADISE,D,PARADISE_D,T108,4
SUMMER-2,PARSONS,A,PARSONS_A,T109,1
SUMMER-2,PARSONS,B,PARSONS_B,T110,2
SUMMER-2,PARSONS,C,PARSONS_C,T111,3
SUMMER-2,PARSONS,D,PARSONS_D,T112,4
WINTER,ARROW,A,ARROW_A,T113,1
WINTER,ARROW,B,ARROW_B,T114,2
WINTER,ARROW,C,ARROW_C,T115,3
WINTER,ARROW,D,ARROW_D,T116,4
WINTER,BEYOND,A,BEYOND_A,T117,1
WINTER,BEYOND,B,BEYOND_B,T118,2
WINTER,BEYOND,C,BEYOND_C,T119,3
WINTER,BEYOND,D,BEYOND_D,T120,4
WINTER,EMPIRE,A,EMPIRE_A,T121,1
WINTER,EMPIRE,B,EMPIRE_B,T122,2
WINTER,EMPIRE,C,EMPIRE_C,T123,3
WINTER,EMPIRE,D,EMPIRE_D,T124,4
WINTER,INDIANS,A,INDIANS_A,T125,1
WINTER,INDIANS,B,INDIANS_B,T126,2
WINTER,INDIANS,C,INDIANS_C,T127,3
WINTER,INDIANS,D,INDIANS_D,T128,4
WINTER,ISTHMUS,A,ISTHMUS_A,T129,1
WINTER,ISTHMUS,B,ISTHMUS_B,T130,2
WINTER,ISTHMUS,C,ISTHMUS_C,T131,3
WINTER,ISTHMUS,D,ISTHMUS_D,T132,4
WINTER,PARADISE,A,PARADISE_A,T133,1
WINTER,PARADISE,B,PARADISE_B,T134,2
WINTER,PARADISE,C,PARADISE_C,T135,3
WINTER,PARADISE,D,PARADISE_D,T136,4
WINTER,PARSONS,A,PARSONS_A,T137,1
WINTER,PARSONS,B,PARSONS_B,T138,2
WINTER,PARSONS,C,PARSONS_C,T139,3
WINTER,PARSONS,D,PARSONS_D,T140,4
