Season,Site,Transect,Strata,QUAD,species,12,15,20,30
SUMMER,PARSONS,3,BENTHIC,23.7,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,26.4,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,28.7,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,2.8,Scorpaena guttata,1,0,0,0
SUMMER,PARSONS,4,BENTHIC,5.6,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,6.8,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,10.9,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,14.6,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,16,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,18.6,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,22,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,24.7,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,29.5,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,0.1,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,5.9,Scorpaena guttata,1,0,0,0
SUMMER,ARROW,1,BENTHIC,7.7,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,11.7,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,13.6,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,17.7,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,20,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,21.4,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,25.1,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,1,BENTHIC,29.9,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,1.2,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,3.3,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,8.8,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,10.7,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,13.2,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,17.8,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,19,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,23,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,24.3,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,2,BENTHIC,27.1,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,1,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,4.2,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,7.6,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,9.3,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,13.9,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,15.5,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,20,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,22.2,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,25.8,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,3,BENTHIC,27.4,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,0.3,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,4.2,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,7.5,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,10.3,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,12.7,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,15.1,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,18.6,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,23.7,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,24.2,Scorpaena guttata,0,0,0,0
SUMMER,ARROW,4,BENTHIC,29.8,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,2.3,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,5.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,8.8,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,9.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,13.4,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,16.2,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,18,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,21,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,26,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,28.2,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,2,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,4.9,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,6.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,11.8,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,13.4,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,16.2,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,21,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,23.8,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,24.7,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,2,BENTHIC,27.4,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,1.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,5.2,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,6.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,11.6,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,14.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,15.7,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,18.7,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,23.1,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,26.6,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,29.1,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,0.3,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,5.8,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,8.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,11.4,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,12.4,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,16.4,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,20.5,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,22,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,25,Scorpaena guttata,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,27.5,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,0.9,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,3.4,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,8.6,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,9.6,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,14.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,17,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,20.3,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,23.2,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,26.4,Scorpaena guttata,1,0,0,0
SUMMER,PARADISE,1,BENTHIC,27.7,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,2.5,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,6,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,6.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,10.3,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,14.9,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,15.1,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,19.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,22.4,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,26.4,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,27.5,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,1.2,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,4.9,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,7.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,11.6,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,13.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,16.5,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,20.7,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,21.9,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,26.3,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,28.9,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,2.3,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,5,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,6.3,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,11.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,13.7,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,16.9,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,19.4,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,22.4,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,24.8,Scorpaena guttata,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,27.5,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,2.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,4.2,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,6.3,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,10,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,14.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,15.5,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,19.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,21,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,24.6,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,28.4,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,3,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,3.6,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,7.8,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,12,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,14.5,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,15.7,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,19.4,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,21.3,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,25.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,27.2,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,0.8,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,3,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,6.8,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,11.7,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,15,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,16.9,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,18.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,21.5,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,25.7,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,28.8,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,0.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,4.5,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,8.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,10.7,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,12.1,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,15.7,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,19.8,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,21.8,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,25,Scorpaena guttata,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,27.5,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,3,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,4.6,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,6.1,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,10.8,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,13.6,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,17.4,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,19.5,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,21.5,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,25.4,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,27.2,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,2.4,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,4.5,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,6.1,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,9.8,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,14.9,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,15.3,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,18,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,22.7,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,26.5,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,27.5,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,2.2,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,4.6,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,6.9,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,9.7,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,12.9,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,17,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,19.1,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,22.6,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,24,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,28.6,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,0.1,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,4.8,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,6.1,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,12,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,12.3,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,15.8,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,20.4,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,21.8,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,26,Scorpaena guttata,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,30,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,2.1,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,4.2,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,8.3,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,9.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,12.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,17.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,19.5,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,23.8,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,26.8,Scorpaena guttata,0,0,0,0
FALL,INDIANS,1,BENTHIC,29.1,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,0,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,3.3,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,6.8,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,12,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,13.5,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,15.6,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,18.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,23.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,24,Scorpaena guttata,0,0,0,0
FALL,INDIANS,2,BENTHIC,28.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,2.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,4.7,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,7,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,10.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,12.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,15,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,18.2,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,22.3,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,25.1,Scorpaena guttata,0,0,0,0
FALL,INDIANS,3,BENTHIC,28.9,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,2.9,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,4.2,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,7.5,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,12,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,13.9,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,16.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,21.4,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,24.1,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,27.2,Scorpaena guttata,0,0,0,0
FALL,INDIANS,4,BENTHIC,29,Scorpaena guttata,0,0,0,0
FALL,ARROW,1,BENTHIC,2.4,Scorpaena guttata,0,0,0,0
FALL,ARROW,1,BENTHIC,5.9,Scorpaena guttata,0,0,0,0
FALL,ARROW,1,BENTHIC,6.9,Scorpaena guttata,0,0,0,0
FALL,ARROW,1,BENTHIC,10.2,Scorpaena guttata,0,0,0,0
FALL,ARROW,1,BENTHIC,12.5,Scorpaena guttata,0,0,0,0
FALL,ARROW,1,BENTHIC,15.9,Scorpaena guttata,0,0,0,0
