Season,Site,Transect,Strata,QUAD,species,8
SUMMER,ARROW,4,BENTHIC,18.6,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,23.7,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,24.2,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,29.8,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,2.3,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,5.5,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,8.8,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,9.5,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,13.4,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,16.2,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,18,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,21,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,26,Paraclinus integripinnis,0
SUMMER,INDIANS,1,BENTHIC,28.2,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,2,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,4.9,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,6.5,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,11.8,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,13.4,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,16.2,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,21,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,23.8,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,24.7,Paraclinus integripinnis,0
SUMMER,INDIANS,2,BENTHIC,27.4,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,1.5,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,5.2,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,6.5,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,11.6,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,14.5,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,15.7,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,18.7,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,23.1,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,26.6,Paraclinus integripinnis,0
SUMMER,INDIANS,3,BENTHIC,29.1,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,0.3,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,5.8,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,8.5,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,11.4,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,12.4,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,16.4,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,20.5,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,22,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,25,Paraclinus integripinnis,0
SUMMER,INDIANS,4,BENTHIC,27.5,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,0.9,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,3.4,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,8.6,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,9.6,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,14.8,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,17,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,20.3,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,23.2,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,26.4,Paraclinus integripinnis,0
SUMMER,PARADISE,1,BENTHIC,27.7,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,2.5,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,6,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,6.8,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,10.3,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,14.9,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,15.1,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,19.8,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,22.4,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,26.4,Paraclinus integripinnis,0
SUMMER,PARADISE,2,BENTHIC,27.5,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,1.2,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,4.9,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,7.8,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,11.6,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,13.8,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,16.5,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,20.7,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,21.9,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,26.3,Paraclinus integripinnis,0
SUMMER,PARADISE,3,BENTHIC,28.9,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,2.3,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,5,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,6.3,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,11.8,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,13.7,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,16.9,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,19.4,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,22.4,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,24.8,Paraclinus integripinnis,0
SUMMER,PARADISE,4,BENTHIC,27.5,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,2.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,4.2,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,6.3,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,10,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,14.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,15.5,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,19.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,21,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,24.6,Paraclinus integripinnis,0
SUMMER,ISTHMUS,1,BENTHIC,28.4,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,3,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,3.6,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,7.8,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,12,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,14.5,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,15.7,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,19.4,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,21.3,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,25.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,2,BENTHIC,27.2,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,0.8,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,3,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,6.8,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,11.7,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,15,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,16.9,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,18.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,21.5,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,25.7,Paraclinus integripinnis,0
SUMMER,ISTHMUS,3,BENTHIC,28.8,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,0.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,4.5,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,8.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,10.7,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,12.1,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,15.7,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,19.8,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,21.8,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,25,Paraclinus integripinnis,0
SUMMER,ISTHMUS,4,BENTHIC,27.5,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,3,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,4.6,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,6.1,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,10.8,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,13.6,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,17.4,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,19.5,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,21.5,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,25.4,Paraclinus integripinnis,0
SUMMER,EMPIRE,1,BENTHIC,27.2,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,2.4,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,4.5,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,6.1,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,9.8,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,14.9,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,15.3,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,18,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,22.7,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,26.5,Paraclinus integripinnis,0
SUMMER,EMPIRE,2,BENTHIC,27.5,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,2.2,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,4.6,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,6.9,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,9.7,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,12.9,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,17,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,19.1,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,22.6,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,24,Paraclinus integripinnis,0
SUMMER,EMPIRE,3,BENTHIC,28.6,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,0.1,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,4.8,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,6.1,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,12,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,12.3,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,15.8,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,20.4,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,21.8,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,26,Paraclinus integripinnis,0
SUMMER,EMPIRE,4,BENTHIC,30,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,2.1,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,4.2,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,8.3,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,9.4,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,12.4,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,17.4,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,19.5,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,23.8,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,26.8,Paraclinus integripinnis,0
FALL,INDIANS,1,BENTHIC,29.1,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,0,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,3.3,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,6.8,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,12,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,13.5,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,15.6,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,18.4,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,23.4,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,24,Paraclinus integripinnis,0
FALL,INDIANS,2,BENTHIC,28.4,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,2.4,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,4.7,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,7,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,10.4,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,12.4,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,15,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,18.2,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,22.3,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,25.1,Paraclinus integripinnis,0
FALL,INDIANS,3,BENTHIC,28.9,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,2.9,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,4.2,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,7.5,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,12,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,13.9,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,16.4,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,21.4,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,24.1,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,27.2,Paraclinus integripinnis,0
FALL,INDIANS,4,BENTHIC,29,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,2.4,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,5.9,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,6.9,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,10.2,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,12.5,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,15.9,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,19.8,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,24,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,25.8,Paraclinus integripinnis,0
FALL,ARROW,1,BENTHIC,27.1,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,0.7,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,4.7,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,8,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,9.4,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,14.1,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,16.7,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,19.8,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,23.8,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,24.1,Paraclinus integripinnis,0
FALL,ARROW,2,BENTHIC,28.6,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,1.8,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,4.4,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,7.7,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,9.9,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,14.2,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,16,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,20,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,23.7,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,24.8,Paraclinus integripinnis,0
FALL,ARROW,3,BENTHIC,27.3,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,1.4,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,5.8,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,7.6,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,10.1,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,13.2,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,15,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,19,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,23.1,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,25.6,Paraclinus integripinnis,0
FALL,ARROW,4,BENTHIC,27,Paraclinus integripinnis,0
FALL,PARSONS,1,BENTHIC,2.6,Paraclinus integripinnis,0
FALL,PARSONS,1,BENTHIC,3.6,Paraclinus integripinnis,0
FALL,PARSONS,1,BENTHIC,8.5,Paraclinus integripinnis,0
