Season,Site,Transect,Strata,species,12
SUMMER,ISTHMUS,1,BENTHIC,Apogon guadalupensis,0
SUMMER,ISTHMUS,2,CANOPY,Apogon guadalupensis,0
SUMMER,ISTHMUS,2,MIDWATER,Apogon guadalupensis,0
SUMMER,ISTHMUS,2,BENTHIC,Apogon guadalupensis,0
SUMMER,ISTHMUS,3,CANOPY,Apogon guadalupensis,0
SUMMER,ISTHMUS,3,MIDWATER,Apogon guadalupensis,0
SUMMER,ISTHMUS,3,BENTHIC,Apogon guadalupensis,0
SUMMER,ISTHMUS,4,CANOPY,Apogon guadalupensis,0
SUMMER,ISTHMUS,4,MIDWATER,Apogon guadalupensis,0
SUMMER,ISTHMUS,4,BENTHIC,Apogon guadalupensis,0
FALL ,PARSONS,1,CANOPY,Apogon guadalupensis,0
FALL ,PARSONS,1,MIDWATER,Apogon guadalupensis,0
FALL ,PARSONS,1,BENTHIC,Apogon guadalupensis,0
FALL ,PARSONS,2,CANOPY,Apogon guadalupensis,0
FALL ,PARSONS,2,MIDWATER,Apogon guadalupensis,0
FALL ,PARSONS,2,BENTHIC,Apogon guadalupensis,0
FALL ,PARSONS,3,CANOPY,Apogon guadalupensis,0
FALL ,PARSONS,3,MIDWATER,Apogon guadalupensis,0
FALL ,PARSONS,3,BENTHIC,Apogon guadalupensis,0
FALL ,PARSONS,4,CANOPY,Apogon guadalupensis,0
FALL ,PARSONS,4,MIDWATER,Apogon guadalupensis,0
FALL ,PARSONS,4,BENTHIC,Apogon guadalupensis,0
FALL ,ARROW,1,CANOPY,Apogon guadalupensis,0
FALL ,ARROW,1,MIDWATER,Apogon guadalupensis,0
FALL ,ARROW,1,BENTHIC,Apogon guadalupensis,0
FALL ,ARROW,2,CANOPY,Apogon guadalupensis,0
FALL ,ARROW,2,MIDWATER,Apogon guadalupensis,0
FALL ,ARROW,2,BENTHIC,Apogon guadalupensis,0
FALL ,ARROW,3,CANOPY,Apogon guadalupensis,0
FALL ,ARROW,3,MIDWATER,Apogon guadalupensis,0
FALL ,ARROW,3,BENTHIC,Apogon guadalupensis,0
FALL ,ARROW,4,CANOPY,Apogon guadalupensis,0
FALL ,ARROW,4,MIDWATER,Apogon guadalupensis,0
FALL ,ARROW,4,BENTHIC,Apogon guadalupensis,0
FALL ,INDIANS,1,CANOPY,Apogon guadalupensis,0
FALL ,INDIANS,1,MIDWATER,Apogon guadalupensis,0
FALL ,INDIANS,1,BENTHIC,Apogon guadalupensis,0
FALL ,INDIANS,2,CANOPY,Apogon guadalupensis,0
FALL ,INDIANS,2,MIDWATER,Apogon guadalupensis,0
FALL ,INDIANS,2,BENTHIC,Apogon guadalupensis,0
FALL ,INDIANS,3,CANOPY,Apogon guadalupensis,0
FALL ,INDIANS,3,MIDWATER,Apogon guadalupensis,0
FALL ,INDIANS,3,BENTHIC,Apogon guadalupensis,0
FALL ,INDIANS,4,CANOPY,Apogon guadalupensis,0
FALL ,INDIANS,4,MIDWATER,Apogon guadalupensis,0
FALL ,INDIANS,4,BENTHIC,Apogon guadalupensis,0
FALL,ISTHMUS,1,CANOPY,Apogon guadalupensis,0
FALL,ISTHMUS,1,MIDWATER,Apogon guadalupensis,0
FALL,ISTHMUS,1,BENTHIC,Apogon guadalupensis,0
FALL,ISTHMUS,2,CANOPY,Apogon guadalupensis,0
FALL,ISTHMUS,2,MIDWATER,Apogon guadalupensis,0
FALL,ISTHMUS,2,BENTHIC,Apogon guadalupensis,0
FALL,ISTHMUS,3,CANOPY,Apogon guadalupensis,0
FALL,ISTHMUS,3,MIDWATER,Apogon guadalupensis,0
FALL,ISTHMUS,3,BENTHIC,Apogon guadalupensis,0
FALL,ISTHMUS,4,CANOPY,Apogon guadalupensis,0
FALL,ISTHMUS,4,MIDWATER,Apogon guadalupensis,0
FALL,ISTHMUS,4,BENTHIC,Apogon guadalupensis,0
FALL,BEYOND,1,CANOPY,Apogon guadalupensis,0
FALL,BEYOND,1,MIDWATER,Apogon guadalupensis,0
FALL,BEYOND,1,BENTHIC,Apogon guadalupensis,0
FALL,BEYOND,2,CANOPY,Apogon guadalupensis,0
FALL,BEYOND,2,MIDWATER,Apogon guadalupensis,0
FALL,BEYOND,2,BENTHIC,Apogon guadalupensis,0
FALL,BEYOND,3,CANOPY,Apogon guadalupensis,0
FALL,BEYOND,3,MIDWATER,Apogon guadalupensis,0
FALL,BEYOND,3,BENTHIC,Apogon guadalupensis,0
FALL,BEYOND,4,CANOPY,Apogon guadalupensis,0
FALL,BEYOND,4,MIDWATER,Apogon guadalupensis,0
FALL,BEYOND,4,BENTHIC,Apogon guadalupensis,0
FALL,EMPIRE,1,CANOPY,Apogon guadalupensis,0
FALL,EMPIRE,1,MIDWATER,Apogon guadalupensis,0
FALL,EMPIRE,1,BENTHIC,Apogon guadalupensis,0
FALL,EMPIRE,2,CANOPY,Apogon guadalupensis,0
FALL,EMPIRE,2,MIDWATER,Apogon guadalupensis,0
FALL,EMPIRE,2,BENTHIC,Apogon guadalupensis,0
FALL,EMPIRE,3,CANOPY,Apogon guadalupensis,0
FALL,EMPIRE,3,MIDWATER,Apogon guadalupensis,0
FALL,EMPIRE,3,BENTHIC,Apogon guadalupensis,0
FALL,EMPIRE,4,CANOPY,Apogon guadalupensis,0
FALL,EMPIRE,4,MIDWATER,Apogon guadalupensis,0
FALL,EMPIRE,4,BENTHIC,Apogon guadalupensis,0
FALL,PARADISE,1,CANOPY,Apogon guadalupensis,0
FALL,PARADISE,1,MIDWATER,Apogon guadalupensis,0
FALL,PARADISE,1,BENTHIC,Apogon guadalupensis,0
FALL,PARADISE,2,CANOPY,Apogon guadalupensis,0
FALL,PARADISE,2,MIDWATER,Apogon guadalupensis,0
FALL,PARADISE,2,BENTHIC,Apogon guadalupensis,0
FALL,PARADISE,3,CANOPY,Apogon guadalupensis,0
FALL,PARADISE,3,MIDWATER,Apogon guadalupensis,0
FALL,PARADISE,3,BENTHIC,Apogon guadalupensis,0
FALL,PARADISE,4,CANOPY,Apogon guadalupensis,0
FALL,PARADISE,4,MIDWATER,Apogon guadalupensis,0
FALL,PARADISE,4,BENTHIC,Apogon guadalupensis,0
WINTER,PARSONS,1,CANOPY,Apogon guadalupensis,0
WINTER,PARSONS,1,MIDWATER,Apogon guadalupensis,0
WINTER,PARSONS,1,BENTHIC,Apogon guadalupensis,0
WINTER,PARSONS,2,CANOPY,Apogon guadalupensis,0
WINTER,PARSONS,2,MIDWATER,Apogon guadalupensis,0
WINTER,PARSONS,2,BENTHIC,Apogon guadalupensis,0
WINTER,PARSONS,3,CANOPY,Apogon guadalupensis,0
WINTER,PARSONS,3,MIDWATER,Apogon guadalupensis,0
WINTER,PARSONS,3,BENTHIC,Apogon guadalupensis,0
WINTER,PARSONS,4,CANOPY,Apogon guadalupensis,0
WINTER,PARSONS,4,MIDWATER,Apogon guadalupensis,0
WINTER,PARSONS,4,BENTHIC,Apogon guadalupensis,0
WINTER,INDIANS,1,CANOPY,Apogon guadalupensis,0
WINTER,INDIANS,1,MIDWATER,Apogon guadalupensis,0
WINTER,INDIANS,1,BENTHIC,Apogon guadalupensis,0
WINTER,INDIANS,2,CANOPY,Apogon guadalupensis,0
WINTER,INDIANS,2,MIDWATER,Apogon guadalupensis,0
WINTER,INDIANS,2,BENTHIC,Apogon guadalupensis,0
WINTER,INDIANS,3,CANOPY,Apogon guadalupensis,0
WINTER,INDIANS,3,MIDWATER,Apogon guadalupensis,0
WINTER,INDIANS,3,BENTHIC,Apogon guadalupensis,0
WINTER,INDIANS,4,CANOPY,Apogon guadalupensis,0
WINTER,INDIANS,4,MIDWATER,Apogon guadalupensis,0
WINTER,INDIANS,4,BENTHIC,Apogon guadalupensis,0
WINTER,BEYOND,1,CANOPY,Apogon guadalupensis,0
WINTER,BEYOND,1,MIDWATER,Apogon guadalupensis,0
WINTER,BEYOND,1,BENTHIC,Apogon guadalupensis,0
WINTER,BEYOND,2,CANOPY,Apogon guadalupensis,0
WINTER,BEYOND,2,MIDWATER,Apogon guadalupensis,0
WINTER,BEYOND,2,BENTHIC,Apogon guadalupensis,0
WINTER,BEYOND,3,CANOPY,Apogon guadalupensis,0
WINTER,BEYOND,3,MIDWATER,Apogon guadalupensis,0
WINTER,BEYOND,3,BENTHIC,Apogon guadalupensis,0
WINTER,BEYOND,4,CANOPY,Apogon guadalupensis,0
WINTER,BEYOND,4,MIDWATER,Apogon guadalupensis,0
WINTER,BEYOND,4,BENTHIC,Apogon guadalupensis,0
WINTER,ISTHMUS,1,CANOPY,Apogon guadalupensis,0
WINTER,ISTHMUS,1,MIDWATER,Apogon guadalupensis,0
WINTER,ISTHMUS,1,BENTHIC,Apogon guadalupensis,0
WINTER,ISTHMUS,2,CANOPY,Apogon guadalupensis,0
WINTER,ISTHMUS,2,MIDWATER,Apogon guadalupensis,0
WINTER,ISTHMUS,2,BENTHIC,Apogon guadalupensis,0
WINTER,ISTHMUS,3,CANOPY,Apogon guadalupensis,0
WINTER,ISTHMUS,3,MIDWATER,Apogon guadalupensis,0
WINTER,ISTHMUS,3,BENTHIC,Apogon guadalupensis,0
WINTER,ISTHMUS,4,CANOPY,Apogon guadalupensis,0
WINTER,ISTHMUS,4,MIDWATER,Apogon guadalupensis,0
WINTER,ISTHMUS,4,BENTHIC,Apogon guadalupensis,0
WINTER,ARROW,1,CANOPY,Apogon guadalupensis,0
WINTER,ARROW,1,MIDWATER,Apogon guadalupensis,0
WINTER,ARROW,1,BENTHIC,Apogon guadalupensis,0
WINTER,ARROW,2,CANOPY,Apogon guadalupensis,0
WINTER,ARROW,2,MIDWATER,Apogon guadalupensis,0
WINTER,ARROW,2,BENTHIC,Apogon guadalupensis,0
WINTER,ARROW,3,CANOPY,Apogon guadalupensis,0
WINTER,ARROW,3,MIDWATER,Apogon guadalupensis,0
WINTER,ARROW,3,BENTHIC,Apogon guadalupensis,0
WINTER,ARROW,4,CANOPY,Apogon guadalupensis,0
WINTER,ARROW,4,MIDWATER,Apogon guadalupensis,0
WINTER,ARROW,4,BENTHIC,Apogon guadalupensis,0
WINTER,EMPIRE,1,CANOPY,Apogon guadalupensis,0
WINTER,EMPIRE,1,MIDWATER,Apogon guadalupensis,0
WINTER,EMPIRE,1,BENTHIC,Apogon guadalupensis,0
WINTER,EMPIRE,2,CANOPY,Apogon guadalupensis,0
WINTER,EMPIRE,2,MIDWATER,Apogon guadalupensis,0
WINTER,EMPIRE,2,BENTHIC,Apogon guadalupensis,0
WINTER,EMPIRE,3,CANOPY,Apogon guadalupensis,0
WINTER,EMPIRE,3,MIDWATER,Apogon guadalupensis,0
WINTER,EMPIRE,3,BENTHIC,Apogon guadalupensis,0
WINTER,EMPIRE,4,CANOPY,Apogon guadalupensis,0
WINTER,EMPIRE,4,MIDWATER,Apogon guadalupensis,0
WINTER,EMPIRE,4,BENTHIC,Apogon guadalupensis,1
WINTER,PARADISE,1,CANOPY,Apogon guadalupensis,0
WINTER,PARADISE,1,MIDWATER,Apogon guadalupensis,0
WINTER,PARADISE,1,BENTHIC,Apogon guadalupensis,0
WINTER,PARADISE,2,CANOPY,Apogon guadalupensis,0
WINTER,PARADISE,2,MIDWATER,Apogon guadalupensis,0
WINTER,PARADISE,2,BENTHIC,Apogon guadalupensis,0
WINTER,PARADISE,3,CANOPY,Apogon guadalupensis,0
WINTER,PARADISE,3,MIDWATER,Apogon guadalupensis,0
WINTER,PARADISE,3,BENTHIC,Apogon guadalupensis,0
WINTER,PARADISE,4,CANOPY,Apogon guadalupensis,0
WINTER,PARADISE,4,MIDWATER,Apogon guadalupensis,0
WINTER,PARADISE,4,BENTHIC,Apogon guadalupensis,0
SPRING,INDIANS,1,CANOPY,Apogon guadalupensis,0
SPRING,INDIANS,1,MIDWATER,Apogon guadalupensis,0
SPRING,INDIANS,1,BENTHIC,Apogon guadalupensis,0
SPRING,INDIANS,2,CANOPY,Apogon guadalupensis,0
SPRING,INDIANS,2,MIDWATER,Apogon guadalupensis,0
SPRING,INDIANS,2,BENTHIC,Apogon guadalupensis,0
SPRING,INDIANS,3,CANOPY,Apogon guadalupensis,0
SPRING,INDIANS,3,MIDWATER,Apogon guadalupensis,0
SPRING,INDIANS,3,BENTHIC,Apogon guadalupensis,0
SPRING,INDIANS,4,CANOPY,Apogon guadalupensis,0
SPRING,INDIANS,4,MIDWATER,Apogon guadalupensis,0
SPRING,INDIANS,4,BENTHIC,Apogon guadalupensis,0
SPRING,ISTHMUS,1,CANOPY,Apogon guadalupensis,0
SPRING,ISTHMUS,1,MIDWATER,Apogon guadalupensis,0
SPRING,ISTHMUS,1,BENTHIC,Apogon guadalupensis,0
SPRING,ISTHMUS,2,CANOPY,Apogon guadalupensis,0
SPRING,ISTHMUS,2,MIDWATER,Apogon guadalupensis,0
SPRING,ISTHMUS,2,BENTHIC,Apogon guadalupensis,0
SPRING,ISTHMUS,3,CANOPY,Apogon guadalupensis,0
SPRING,ISTHMUS,3,MIDWATER,Apogon guadalupensis,0
SPRING,ISTHMUS,3,BENTHIC,Apogon guadalupensis,0
SPRING,ISTHMUS,4,CANOPY,Apogon guadalupensis,0
SPRING,ISTHMUS,4,MIDWATER,Apogon guadalupensis,0
SPRING,ISTHMUS,4,BENTHIC,Apogon guadalupensis,0
SPRING,EMPIRE,1,CANOPY,Apogon guadalupensis,0
SPRING,EMPIRE,1,MIDWATER,Apogon guadalupensis,0
SPRING,EMPIRE,1,BENTHIC,Apogon guadalupensis,0
SPRING,EMPIRE,2,CANOPY,Apogon guadalupensis,0
SPRING,EMPIRE,2,MIDWATER,Apogon guadalupensis,0
SPRING,EMPIRE,2,BENTHIC,Apogon guadalupensis,0
SPRING,EMPIRE,3,CANOPY,Apogon guadalupensis,0
SPRING,EMPIRE,3,MIDWATER,Apogon guadalupensis,0
SPRING,EMPIRE,3,BENTHIC,Apogon guadalupensis,0
SPRING,EMPIRE,4,CANOPY,Apogon guadalupensis,0
SPRING,EMPIRE,4,MIDWATER,Apogon guadalupensis,0
SPRING,EMPIRE,4,BENTHIC,Apogon guadalupensis,0
SPRING,PARADISE,1,CANOPY,Apogon guadalupensis,0
SPRING,PARADISE,1,MIDWATER,Apogon guadalupensis,0
SPRING,PARADISE,1,BENTHIC,Apogon guadalupensis,0
SPRING,PARADISE,2,CANOPY,Apogon guadalupensis,0
SPRING,PARADISE,2,MIDWATER,Apogon guadalupensis,0
SPRING,PARADISE,2,BENTHIC,Apogon guadalupensis,0
SPRING,PARADISE,3,CANOPY,Apogon guadalupensis,0
SPRING,PARADISE,3,MIDWATER,Apogon guadalupensis,0
SPRING,PARADISE,3,BENTHIC,Apogon guadalupensis,0
SPRING,PARADISE,4,CANOPY,Apogon guadalupensis,0
SPRING,PARADISE,4,MIDWATER,Apogon guadalupensis,0
SPRING,PARADISE,4,BENTHIC,Apogon guadalupensis,0
SPRING,BEYOND,1,CANOPY,Apogon guadalupensis,0
SPRING,BEYOND,1,MIDWATER,Apogon guadalupensis,0
SPRING,BEYOND,1,BENTHIC,Apogon guadalupensis,0
SPRING,BEYOND,2,CANOPY,Apogon guadalupensis,0
SPRING,BEYOND,2,MIDWATER,Apogon guadalupensis,0
SPRING,BEYOND,2,BENTHIC,Apogon guadalupensis,0
SPRING,BEYOND,3,CANOPY,Apogon guadalupensis,0
SPRING,BEYOND,3,MIDWATER,Apogon guadalupensis,0
SPRING,BEYOND,3,BENTHIC,Apogon guadalupensis,0
SPRING,BEYOND,4,CANOPY,Apogon guadalupensis,0
SPRING,BEYOND,4,MIDWATER,Apogon guadalupensis,0
SPRING,BEYOND,4,BENTHIC,Apogon guadalupensis,0
SPRING,PARSONS,1,CANOPY,Apogon guadalupensis,0
SPRING,PARSONS,1,MIDWATER,Apogon guadalupensis,0
SPRING,PARSONS,1,BENTHIC,Apogon guadalupensis,0
SPRING,PARSONS,2,CANOPY,Apogon guadalupensis,0
SPRING,PARSONS,2,MIDWATER,Apogon guadalupensis,0
SPRING,PARSONS,2,BENTHIC,Apogon guadalupensis,0
SPRING,PARSONS,3,CANOPY,Apogon guadalupensis,0
SPRING,PARSONS,3,MIDWATER,Apogon guadalupensis,0
SPRING,PARSONS,3,BENTHIC,Apogon guadalupensis,0
SPRING,PARSONS,4,CANOPY,Apogon guadalupensis,0
SPRING,PARSONS,4,MIDWATER,Apogon guadalupensis,0
SPRING,PARSONS,4,BENTHIC,Apogon guadalupensis,0
SPRING,ARROW,1,CANOPY,Apogon guadalupensis,0
SPRING,ARROW,1,MIDWATER,Apogon guadalupensis,0
SPRING,ARROW,1,BENTHIC,Apogon guadalupensis,0
SPRING,ARROW,2,CANOPY,Apogon guadalupensis,0
SPRING,ARROW,2,MIDWATER,Apogon guadalupensis,0
SPRING,ARROW,2,BENTHIC,Apogon guadalupensis,0
SPRING,ARROW,3,CANOPY,Apogon guadalupensis,0
SPRING,ARROW,3,MIDWATER,Apogon guadalupensis,0
SPRING,ARROW,3,BENTHIC,Apogon guadalupensis,0
SPRING,ARROW,4,CANOPY,Apogon guadalupensis,0
SPRING,ARROW,4,MIDWATER,Apogon guadalupensis,0
SPRING,ARROW,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ARROW,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,ARROW,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,ARROW,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ARROW,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,ARROW,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,ARROW,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ARROW,3,CANOPY,Apogon guadalupensis,0
SUMMER-2,ARROW,3,MIDWATER,Apogon guadalupensis,0
SUMMER-2,ARROW,3,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ARROW,4,CANOPY,Apogon guadalupensis,0
SUMMER-2,ARROW,4,MIDWATER,Apogon guadalupensis,0
SUMMER-2,ARROW,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,BEYOND,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,BEYOND,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,BEYOND,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,BEYOND,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,BEYOND,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,BEYOND,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,BEYOND,3,CANOPY,Apogon guadalupensis,0
SUMMER-2,BEYOND,3,MIDWATER,Apogon guadalupensis,0
SUMMER-2,BEYOND,3,BENTHIC,Apogon guadalupensis,0
SUMMER-2,BEYOND,4,CANOPY,Apogon guadalupensis,0
SUMMER-2,BEYOND,4,MIDWATER,Apogon guadalupensis,0
SUMMER-2,BEYOND,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,INDIANS,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,INDIANS,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,INDIANS,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,INDIANS,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,INDIANS,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,INDIANS,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,INDIANS,3,CANOPY,Apogon guadalupensis,0
SUMMER-2,INDIANS,3,MIDWATER,Apogon guadalupensis,0
SUMMER-2,INDIANS,3,BENTHIC,Apogon guadalupensis,0
SUMMER-2,INDIANS,4,CANOPY,Apogon guadalupensis,0
SUMMER-2,INDIANS,4,MIDWATER,Apogon guadalupensis,0
SUMMER-2,INDIANS,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARSONS,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARSONS,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARSONS,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARSONS,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARSONS,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARSONS,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARSONS,3,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARSONS,3,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARSONS,3,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARSONS,4,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARSONS,4,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARSONS,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,EMPIRE,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,EMPIRE,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,EMPIRE,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,EMPIRE,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,EMPIRE,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,EMPIRE,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,EMPIRE,3,CANOPY,Apogon guadalupensis,0
SUMMER-2,EMPIRE,3,MIDWATER,Apogon guadalupensis,0
SUMMER-2,EMPIRE,3,BENTHIC,Apogon guadalupensis,0
SUMMER-2,EMPIRE,4,CANOPY,Apogon guadalupensis,0
SUMMER-2,EMPIRE,4,MIDWATER,Apogon guadalupensis,0
SUMMER-2,EMPIRE,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARADISE,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARADISE,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARADISE,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARADISE,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARADISE,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARADISE,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARADISE,3,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARADISE,3,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARADISE,3,BENTHIC,Apogon guadalupensis,0
SUMMER-2,PARADISE,4,CANOPY,Apogon guadalupensis,0
SUMMER-2,PARADISE,4,MIDWATER,Apogon guadalupensis,0
SUMMER-2,PARADISE,4,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,1,CANOPY,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,1,MIDWATER,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,1,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,2,CANOPY,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,2,MIDWATER,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,2,BENTHIC,Apogon guadalupensis,0
SUMMER-2,ISTHMUS,3,CANOPY,Apogon guadalupensis,0
