Season,Site,Transect,Strata,QUAD,species,1,2,3,4,5
SUMMER,BEYOND,4,BENTHIC,16.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,19.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,23.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,26.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,27.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,0.4,Lythrypnus dalli,0,1,1,1,0
SUMMER,PARSONS,1,BENTHIC,4.2,Lythrypnus dalli,0,3,1,1,0
SUMMER,PARSONS,1,BENTHIC,6.5,Lythrypnus dalli,0,4,0,0,0
SUMMER,PARSONS,1,BENTHIC,11.3,Lythrypnus dalli,0,2,0,2,0
SUMMER,PARSONS,1,BENTHIC,13.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,15.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,19.2,Lythrypnus dalli,0,2,1,0,0
SUMMER,PARSONS,1,BENTHIC,22.3,Lythrypnus dalli,0,0,1,0,1
SUMMER,PARSONS,1,BENTHIC,25.8,Lythrypnus dalli,0,0,1,3,0
SUMMER,PARSONS,1,BENTHIC,27.1,Lythrypnus dalli,0,0,1,1,0
SUMMER,PARSONS,2,BENTHIC,0.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,4.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARSONS,2,BENTHIC,7.3,Lythrypnus dalli,0,3,0,3,0
SUMMER,PARSONS,2,BENTHIC,9.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,14.4,Lythrypnus dalli,0,0,2,4,1
SUMMER,PARSONS,2,BENTHIC,17.1,Lythrypnus dalli,0,0,1,0,0
SUMMER,PARSONS,2,BENTHIC,20.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,21.1,Lythrypnus dalli,0,0,1,0,0
SUMMER,PARSONS,2,BENTHIC,24.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,29.1,Lythrypnus dalli,0,1,1,1,0
SUMMER,PARSONS,3,BENTHIC,2.8,Lythrypnus dalli,0,1,1,0,0
SUMMER,PARSONS,3,BENTHIC,5.8,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARSONS,3,BENTHIC,8,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,10.7,Lythrypnus dalli,0,0,0,1,0
SUMMER,PARSONS,3,BENTHIC,13.7,Lythrypnus dalli,0,0,0,2,0
SUMMER,PARSONS,3,BENTHIC,17.4,Lythrypnus dalli,0,1,1,0,0
SUMMER,PARSONS,3,BENTHIC,18.2,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARSONS,3,BENTHIC,23.7,Lythrypnus dalli,0,1,3,0,0
SUMMER,PARSONS,3,BENTHIC,26.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,28.7,Lythrypnus dalli,0,3,1,0,0
SUMMER,PARSONS,4,BENTHIC,2.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,5.6,Lythrypnus dalli,0,2,4,1,0
SUMMER,PARSONS,4,BENTHIC,6.8,Lythrypnus dalli,1,3,0,1,0
SUMMER,PARSONS,4,BENTHIC,10.9,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARSONS,4,BENTHIC,14.6,Lythrypnus dalli,0,3,0,0,0
SUMMER,PARSONS,4,BENTHIC,16,Lythrypnus dalli,0,1,2,0,0
SUMMER,PARSONS,4,BENTHIC,18.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,22,Lythrypnus dalli,0,0,1,0,0
SUMMER,PARSONS,4,BENTHIC,24.7,Lythrypnus dalli,0,0,0,1,0
SUMMER,PARSONS,4,BENTHIC,29.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,ARROW,1,BENTHIC,0.1,Lythrypnus dalli,0,1,0,1,0
SUMMER,ARROW,1,BENTHIC,5.9,Lythrypnus dalli,0,2,7,5,1
SUMMER,ARROW,1,BENTHIC,7.7,Lythrypnus dalli,0,6,3,0,0
SUMMER,ARROW,1,BENTHIC,11.7,Lythrypnus dalli,0,3,2,0,0
SUMMER,ARROW,1,BENTHIC,13.6,Lythrypnus dalli,0,2,0,0,0
SUMMER,ARROW,1,BENTHIC,17.7,Lythrypnus dalli,1,1,0,0,0
SUMMER,ARROW,1,BENTHIC,20,Lythrypnus dalli,0,4,1,0,0
SUMMER,ARROW,1,BENTHIC,21.4,Lythrypnus dalli,0,5,5,3,1
SUMMER,ARROW,1,BENTHIC,25.1,Lythrypnus dalli,0,6,2,1,0
SUMMER,ARROW,1,BENTHIC,29.9,Lythrypnus dalli,0,2,0,0,0
SUMMER,ARROW,2,BENTHIC,1.2,Lythrypnus dalli,1,3,2,3,0
SUMMER,ARROW,2,BENTHIC,3.3,Lythrypnus dalli,0,3,2,3,0
SUMMER,ARROW,2,BENTHIC,8.8,Lythrypnus dalli,0,4,2,2,0
SUMMER,ARROW,2,BENTHIC,10.7,Lythrypnus dalli,0,5,2,0,0
SUMMER,ARROW,2,BENTHIC,13.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,ARROW,2,BENTHIC,17.8,Lythrypnus dalli,0,5,5,0,0
SUMMER,ARROW,2,BENTHIC,19,Lythrypnus dalli,0,7,1,0,0
SUMMER,ARROW,2,BENTHIC,23,Lythrypnus dalli,0,0,0,0,0
SUMMER,ARROW,2,BENTHIC,24.3,Lythrypnus dalli,1,1,1,0,0
SUMMER,ARROW,2,BENTHIC,27.1,Lythrypnus dalli,0,2,5,3,0
SUMMER,ARROW,3,BENTHIC,1,Lythrypnus dalli,0,8,7,2,0
SUMMER,ARROW,3,BENTHIC,4.2,Lythrypnus dalli,0,0,12,3,6
SUMMER,ARROW,3,BENTHIC,7.6,Lythrypnus dalli,0,5,2,4,0
SUMMER,ARROW,3,BENTHIC,9.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,ARROW,3,BENTHIC,13.9,Lythrypnus dalli,0,1,3,1,0
SUMMER,ARROW,3,BENTHIC,15.5,Lythrypnus dalli,0,1,1,0,0
SUMMER,ARROW,3,BENTHIC,20,Lythrypnus dalli,0,13,6,2,0
SUMMER,ARROW,3,BENTHIC,22.2,Lythrypnus dalli,0,2,4,1,0
SUMMER,ARROW,3,BENTHIC,25.8,Lythrypnus dalli,0,4,5,4,0
SUMMER,ARROW,3,BENTHIC,27.4,Lythrypnus dalli,0,5,1,0,0
SUMMER,ARROW,4,BENTHIC,0.3,Lythrypnus dalli,0,2,0,0,0
SUMMER,ARROW,4,BENTHIC,4.2,Lythrypnus dalli,0,2,0,0,0
SUMMER,ARROW,4,BENTHIC,7.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,ARROW,4,BENTHIC,10.3,Lythrypnus dalli,0,1,0,0,0
SUMMER,ARROW,4,BENTHIC,12.7,Lythrypnus dalli,0,1,2,0,0
SUMMER,ARROW,4,BENTHIC,15.1,Lythrypnus dalli,0,0,0,0,0
SUMMER,ARROW,4,BENTHIC,18.6,Lythrypnus dalli,0,0,4,1,0
SUMMER,ARROW,4,BENTHIC,23.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,ARROW,4,BENTHIC,24.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,ARROW,4,BENTHIC,29.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,2.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,5.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,1,BENTHIC,8.8,Lythrypnus dalli,0,3,0,0,0
SUMMER,INDIANS,1,BENTHIC,9.5,Lythrypnus dalli,0,8,3,3,0
SUMMER,INDIANS,1,BENTHIC,13.4,Lythrypnus dalli,0,1,0,0,0
SUMMER,INDIANS,1,BENTHIC,16.2,Lythrypnus dalli,0,2,17,4,0
SUMMER,INDIANS,1,BENTHIC,18,Lythrypnus dalli,0,10,14,3,0
SUMMER,INDIANS,1,BENTHIC,21,Lythrypnus dalli,0,7,4,2,0
SUMMER,INDIANS,1,BENTHIC,26,Lythrypnus dalli,1,2,3,4,0
SUMMER,INDIANS,1,BENTHIC,28.2,Lythrypnus dalli,0,0,3,1,0
SUMMER,INDIANS,2,BENTHIC,2,Lythrypnus dalli,0,3,3,1,0
SUMMER,INDIANS,2,BENTHIC,4.9,Lythrypnus dalli,0,1,0,0,0
SUMMER,INDIANS,2,BENTHIC,6.5,Lythrypnus dalli,0,2,0,0,0
SUMMER,INDIANS,2,BENTHIC,11.8,Lythrypnus dalli,0,5,6,3,0
SUMMER,INDIANS,2,BENTHIC,13.4,Lythrypnus dalli,0,4,7,0,0
SUMMER,INDIANS,2,BENTHIC,16.2,Lythrypnus dalli,0,3,3,4,0
SUMMER,INDIANS,2,BENTHIC,21,Lythrypnus dalli,0,1,4,0,0
SUMMER,INDIANS,2,BENTHIC,23.8,Lythrypnus dalli,0,13,5,4,0
SUMMER,INDIANS,2,BENTHIC,24.7,Lythrypnus dalli,0,5,6,6,0
SUMMER,INDIANS,2,BENTHIC,27.4,Lythrypnus dalli,0,0,2,2,0
SUMMER,INDIANS,3,BENTHIC,1.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,3,BENTHIC,5.2,Lythrypnus dalli,0,6,4,2,0
SUMMER,INDIANS,3,BENTHIC,6.5,Lythrypnus dalli,0,4,5,3,0
SUMMER,INDIANS,3,BENTHIC,11.6,Lythrypnus dalli,0,3,2,4,0
SUMMER,INDIANS,3,BENTHIC,14.5,Lythrypnus dalli,0,1,2,0,0
SUMMER,INDIANS,3,BENTHIC,15.7,Lythrypnus dalli,0,2,3,0,0
SUMMER,INDIANS,3,BENTHIC,18.7,Lythrypnus dalli,0,4,5,4,0
SUMMER,INDIANS,3,BENTHIC,23.1,Lythrypnus dalli,0,0,0,1,0
SUMMER,INDIANS,3,BENTHIC,26.6,Lythrypnus dalli,0,1,4,2,0
SUMMER,INDIANS,3,BENTHIC,29.1,Lythrypnus dalli,0,4,0,3,0
SUMMER,INDIANS,4,BENTHIC,0.3,Lythrypnus dalli,0,3,4,4,0
SUMMER,INDIANS,4,BENTHIC,5.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,8.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,11.4,Lythrypnus dalli,0,0,2,5,0
SUMMER,INDIANS,4,BENTHIC,12.4,Lythrypnus dalli,0,1,0,2,0
SUMMER,INDIANS,4,BENTHIC,16.4,Lythrypnus dalli,0,2,3,2,0
SUMMER,INDIANS,4,BENTHIC,20.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,22,Lythrypnus dalli,0,0,1,0,0
SUMMER,INDIANS,4,BENTHIC,25,Lythrypnus dalli,0,0,0,0,0
SUMMER,INDIANS,4,BENTHIC,27.5,Lythrypnus dalli,0,7,2,0,0
SUMMER,PARADISE,1,BENTHIC,0.9,Lythrypnus dalli,0,2,4,1,0
SUMMER,PARADISE,1,BENTHIC,3.4,Lythrypnus dalli,0,4,0,5,0
SUMMER,PARADISE,1,BENTHIC,8.6,Lythrypnus dalli,0,2,4,1,0
SUMMER,PARADISE,1,BENTHIC,9.6,Lythrypnus dalli,0,1,3,0,0
SUMMER,PARADISE,1,BENTHIC,14.8,Lythrypnus dalli,0,3,9,2,0
SUMMER,PARADISE,1,BENTHIC,17,Lythrypnus dalli,0,2,2,0,0
SUMMER,PARADISE,1,BENTHIC,20.3,Lythrypnus dalli,0,1,3,1,0
SUMMER,PARADISE,1,BENTHIC,23.2,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,1,BENTHIC,26.4,Lythrypnus dalli,0,5,1,0,0
SUMMER,PARADISE,1,BENTHIC,27.7,Lythrypnus dalli,0,1,2,0,0
SUMMER,PARADISE,2,BENTHIC,2.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,6,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,6.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,10.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,14.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,15.1,Lythrypnus dalli,0,0,0,2,0
SUMMER,PARADISE,2,BENTHIC,19.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,22.4,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,2,BENTHIC,26.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,27.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,3,BENTHIC,1.2,Lythrypnus dalli,0,0,1,0,0
SUMMER,PARADISE,3,BENTHIC,4.9,Lythrypnus dalli,0,1,2,0,0
SUMMER,PARADISE,3,BENTHIC,7.8,Lythrypnus dalli,0,1,1,0,0
SUMMER,PARADISE,3,BENTHIC,11.6,Lythrypnus dalli,0,2,2,0,0
SUMMER,PARADISE,3,BENTHIC,13.8,Lythrypnus dalli,0,1,2,0,0
SUMMER,PARADISE,3,BENTHIC,16.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,3,BENTHIC,20.7,Lythrypnus dalli,0,0,1,0,0
SUMMER,PARADISE,3,BENTHIC,21.9,Lythrypnus dalli,0,0,1,0,0
SUMMER,PARADISE,3,BENTHIC,26.3,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,3,BENTHIC,28.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,2.3,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,4,BENTHIC,5,Lythrypnus dalli,0,1,0,0,0
SUMMER,PARADISE,4,BENTHIC,6.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,11.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,13.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,16.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,19.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,22.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,24.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,27.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,2.1,Lythrypnus dalli,0,2,3,2,0
SUMMER,ISTHMUS,1,BENTHIC,4.2,Lythrypnus dalli,0,1,1,1,0
SUMMER,ISTHMUS,1,BENTHIC,6.3,Lythrypnus dalli,0,6,4,1,0
SUMMER,ISTHMUS,1,BENTHIC,10,Lythrypnus dalli,0,1,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,14.1,Lythrypnus dalli,0,1,1,0,0
SUMMER,ISTHMUS,1,BENTHIC,15.5,Lythrypnus dalli,0,4,1,2,0
SUMMER,ISTHMUS,1,BENTHIC,19.1,Lythrypnus dalli,0,2,3,0,0
SUMMER,ISTHMUS,1,BENTHIC,21,Lythrypnus dalli,0,0,0,0,0
SUMMER,ISTHMUS,1,BENTHIC,24.6,Lythrypnus dalli,0,0,1,1,0
SUMMER,ISTHMUS,1,BENTHIC,28.4,Lythrypnus dalli,0,3,3,3,0
SUMMER,ISTHMUS,2,BENTHIC,3,Lythrypnus dalli,0,3,1,0,0
SUMMER,ISTHMUS,2,BENTHIC,3.6,Lythrypnus dalli,0,2,3,1,0
SUMMER,ISTHMUS,2,BENTHIC,7.8,Lythrypnus dalli,0,2,1,0,0
SUMMER,ISTHMUS,2,BENTHIC,12,Lythrypnus dalli,0,0,0,0,0
SUMMER,ISTHMUS,2,BENTHIC,14.5,Lythrypnus dalli,0,0,2,1,0
SUMMER,ISTHMUS,2,BENTHIC,15.7,Lythrypnus dalli,0,1,3,1,1
SUMMER,ISTHMUS,2,BENTHIC,19.4,Lythrypnus dalli,0,3,1,2,0
SUMMER,ISTHMUS,2,BENTHIC,21.3,Lythrypnus dalli,0,0,3,2,0
SUMMER,ISTHMUS,2,BENTHIC,25.1,Lythrypnus dalli,0,0,4,5,0
SUMMER,ISTHMUS,2,BENTHIC,27.2,Lythrypnus dalli,0,6,2,4,0
SUMMER,ISTHMUS,3,BENTHIC,0.8,Lythrypnus dalli,0,6,6,1,0
SUMMER,ISTHMUS,3,BENTHIC,3,Lythrypnus dalli,0,7,6,2,0
SUMMER,ISTHMUS,3,BENTHIC,6.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,11.7,Lythrypnus dalli,0,4,2,2,0
SUMMER,ISTHMUS,3,BENTHIC,15,Lythrypnus dalli,0,5,1,1,0
SUMMER,ISTHMUS,3,BENTHIC,16.9,Lythrypnus dalli,0,3,2,0,0
SUMMER,ISTHMUS,3,BENTHIC,18.1,Lythrypnus dalli,0,1,0,0,0
SUMMER,ISTHMUS,3,BENTHIC,21.5,Lythrypnus dalli,0,4,8,4,0
SUMMER,ISTHMUS,3,BENTHIC,25.7,Lythrypnus dalli,0,5,6,2,0
SUMMER,ISTHMUS,3,BENTHIC,28.8,Lythrypnus dalli,0,3,4,2,0
SUMMER,ISTHMUS,4,BENTHIC,0.1,Lythrypnus dalli,0,0,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,4.5,Lythrypnus dalli,0,0,1,0,0
SUMMER,ISTHMUS,4,BENTHIC,8.1,Lythrypnus dalli,0,3,7,4,0
SUMMER,ISTHMUS,4,BENTHIC,10.7,Lythrypnus dalli,0,7,6,3,0
SUMMER,ISTHMUS,4,BENTHIC,12.1,Lythrypnus dalli,0,0,1,0,0
SUMMER,ISTHMUS,4,BENTHIC,15.7,Lythrypnus dalli,0,4,1,1,0
SUMMER,ISTHMUS,4,BENTHIC,19.8,Lythrypnus dalli,0,9,14,5,0
SUMMER,ISTHMUS,4,BENTHIC,21.8,Lythrypnus dalli,0,2,1,0,0
SUMMER,ISTHMUS,4,BENTHIC,25,Lythrypnus dalli,0,1,0,0,0
SUMMER,ISTHMUS,4,BENTHIC,27.5,Lythrypnus dalli,0,6,0,1,0
SUMMER,EMPIRE,1,BENTHIC,3,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,4.6,Lythrypnus dalli,0,3,7,2,0
SUMMER,EMPIRE,1,BENTHIC,6.1,Lythrypnus dalli,0,1,2,0,0
SUMMER,EMPIRE,1,BENTHIC,10.8,Lythrypnus dalli,0,2,5,2,0
SUMMER,EMPIRE,1,BENTHIC,13.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,17.4,Lythrypnus dalli,0,0,1,0,0
SUMMER,EMPIRE,1,BENTHIC,19.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,EMPIRE,1,BENTHIC,21.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,25.4,Lythrypnus dalli,0,0,2,0,0
SUMMER,EMPIRE,1,BENTHIC,27.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,2.4,Lythrypnus dalli,0,3,1,2,0
SUMMER,EMPIRE,2,BENTHIC,4.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,6.1,Lythrypnus dalli,0,1,0,0,0
SUMMER,EMPIRE,2,BENTHIC,9.8,Lythrypnus dalli,0,0,1,2,0
SUMMER,EMPIRE,2,BENTHIC,14.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,15.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,18,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,22.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,26.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,27.5,Lythrypnus dalli,0,1,0,0,0
SUMMER,EMPIRE,3,BENTHIC,2.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,4.6,Lythrypnus dalli,0,0,1,0,0
SUMMER,EMPIRE,3,BENTHIC,6.9,Lythrypnus dalli,0,1,0,0,0
SUMMER,EMPIRE,3,BENTHIC,9.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,12.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,17,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,19.1,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,22.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,24,Lythrypnus dalli,0,1,0,0,0
SUMMER,EMPIRE,3,BENTHIC,28.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,0.1,Lythrypnus dalli,0,0,2,0,0
SUMMER,EMPIRE,4,BENTHIC,4.8,Lythrypnus dalli,0,0,0,1,0
SUMMER,EMPIRE,4,BENTHIC,6.1,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,12,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,12.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,15.8,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,20.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,21.8,Lythrypnus dalli,0,0,1,0,0
SUMMER,EMPIRE,4,BENTHIC,26,Lythrypnus dalli,0,0,0,0,0
SUMMER,EMPIRE,4,BENTHIC,30,Lythrypnus dalli,0,0,1,0,0
FALL,INDIANS,1,BENTHIC,2.1,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,4.2,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,8.3,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,9.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,12.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,17.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,19.5,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,23.8,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,26.8,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,1,BENTHIC,29.1,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,0,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,3.3,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,6.8,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,12,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,13.5,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,15.6,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,18.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,23.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,24,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,2,BENTHIC,28.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,3,BENTHIC,2.4,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,3,BENTHIC,4.7,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,3,BENTHIC,7,Lythrypnus dalli,0,0,0,0,0
FALL,INDIANS,3,BENTHIC,10.4,Lythrypnus dalli,0,0,0,0,0
